score,review,y
4,어제 기분좋게 고기먹었다가 알바때문에 기분만 잡치고 갑니다.츄리닝입은 키큰남자알바생 결제받을때 한손 주머니에손넣고 짝다리에 한손으로 카드 뺏아가는것 마냥 가져가서 아무말없이 결제하고 카드 쑥 내밉니다.. 나갈때는 인사조차 안합니다 ㅋㅋ 돈주고 기분 잡치러가실거면 가세요 알바때문에 기분만 너무상합니다덕분에 기분만 잡치고 울산여행 1일차마무리합니다,1
4,오랜만에 삼산놀러와서 왔는데맛도 있고 직원들도 너무. 친절하여맛도2배로 맛있었오요ㅎㅎ,1
4,맛은 괜찮으나 양이 심하게 적은듯그리고 여자알바 불친절,1
4,어제 기분좋게 고기먹었다가 알바때문에 기분만 잡치고 갑니다.츄리닝입은 키큰남자알바생 결제받을때 한손 주머니에손넣고 짝다리에 한손으로 카드 뺏아가는것 마냥 가져가서 아무말없이 결제하고 카드 쑥 내밉니다.. 나갈때는 인사조차 안합니다 ㅋㅋ 돈주고 기분 잡치러가실거면 가세요 알바때문에 기분만 너무상합니다덕분에 기분만 잡치고 울산여행 1일차마무리합니다,1
4,오랜만에 삼산놀러와서 왔는데맛도 있고 직원들도 너무. 친절하여맛도2배로 맛있었오요ㅎㅎ,1
4,목살이라고하면 퍽퍽할줄 알았는데 부드럽고 육즙미쳤어요... 쫀득살?도 너무 맛있고 서비스로 나오는 김치찌개도 만족! 가끔 고기먹고싶을때 생각나는 집이 될거같아요ㅎ 직원분들도 다 재밌고 구워주실때 친절해서 좋아요!,1
1,"직원분이 너무 친철하고, 고기가 너무 맛있었다  다음에 또 방문하고 싶다~~~",0
5,육즙목살..소고기인줄..진짜 부드러웠어요!재방문 의사 1000%,1
1,처음보는 가게가 있어서 들렸는데 와...맛이 죽입니다 직원분들도 친절하시고 가격도 착하네용!! 담에 꼭! 또 들릴께요!! 사장님 번창하세요~,0
5,1.목살 2인분 주문 했는데. 닭가슴살인줄 알았네요. 고기 좋아하시는분들은 사진 보시면 잘 아실꺼에요. 매우 퍽퍽함. 2. 쫄면. 미지근하니. 면빨이 떡인줄 알았네요.면을 삶으면 차가운물에 행궈서 탱글탱글한 식감이 있어야 하는데 1도 없음. 한입 입에 넣었지만 목구멍으로는 못 넣겠음.,1
4,맛은 괜찮으나 양이 심하게 적은듯그리고 여자알바 불친절,1
4,어제 기분좋게 고기먹었다가 알바때문에 기분만 잡치고 갑니다.츄리닝입은 키큰남자알바생 결제받을때 한손 주머니에손넣고 짝다리에 한손으로 카드 뺏아가는것 마냥 가져가서 아무말없이 결제하고 카드 쑥 내밉니다.. 나갈때는 인사조차 안합니다 ㅋㅋ 돈주고 기분 잡치러가실거면 가세요 알바때문에 기분만 너무상합니다덕분에 기분만 잡치고 울산여행 1일차마무리합니다,1
4,오랜만에 삼산놀러와서 왔는데맛도 있고 직원들도 너무. 친절하여맛도2배로 맛있었오요ㅎㅎ,1
4,목살이라고하면 퍽퍽할줄 알았는데 부드럽고 육즙미쳤어요... 쫀득살?도 너무 맛있고 서비스로 나오는 김치찌개도 만족! 가끔 고기먹고싶을때 생각나는 집이 될거같아요ㅎ 직원분들도 다 재밌고 구워주실때 친절해서 좋아요!,1
1,"직원분이 너무 친철하고, 고기가 너무 맛있었다  다음에 또 방문하고 싶다~~~",0
5,육즙목살..소고기인줄..진짜 부드러웠어요!재방문 의사 1000%,1
1,처음보는 가게가 있어서 들렸는데 와...맛이 죽입니다 직원분들도 친절하시고 가격도 착하네용!! 담에 꼭! 또 들릴께요!! 사장님 번창하세요~,0
5,1.목살 2인분 주문 했는데. 닭가슴살인줄 알았네요. 고기 좋아하시는분들은 사진 보시면 잘 아실꺼에요. 매우 퍽퍽함. 2. 쫄면. 미지근하니. 면빨이 떡인줄 알았네요.면을 삶으면 차가운물에 행궈서 탱글탱글한 식감이 있어야 하는데 1도 없음. 한입 입에 넣었지만 목구멍으로는 못 넣겠음.,1
4,맛은 괜찮으나 양이 심하게 적은듯그리고 여자알바 불친절,1
4,어제 기분좋게 고기먹었다가 알바때문에 기분만 잡치고 갑니다.츄리닝입은 키큰남자알바생 결제받을때 한손 주머니에손넣고 짝다리에 한손으로 카드 뺏아가는것 마냥 가져가서 아무말없이 결제하고 카드 쑥 내밉니다.. 나갈때는 인사조차 안합니다 ㅋㅋ 돈주고 기분 잡치러가실거면 가세요 알바때문에 기분만 너무상합니다덕분에 기분만 잡치고 울산여행 1일차마무리합니다,1
4,오랜만에 삼산놀러와서 왔는데맛도 있고 직원들도 너무. 친절하여맛도2배로 맛있었오요ㅎㅎ,1
4,목살이라고하면 퍽퍽할줄 알았는데 부드럽고 육즙미쳤어요... 쫀득살?도 너무 맛있고 서비스로 나오는 김치찌개도 만족! 가끔 고기먹고싶을때 생각나는 집이 될거같아요ㅎ 직원분들도 다 재밌고 구워주실때 친절해서 좋아요!,1
1,"직원분이 너무 친철하고, 고기가 너무 맛있었다  다음에 또 방문하고 싶다~~~",0
5,육즙목살..소고기인줄..진짜 부드러웠어요!재방문 의사 1000%,1
1,처음보는 가게가 있어서 들렸는데 와...맛이 죽입니다 직원분들도 친절하시고 가격도 착하네용!! 담에 꼭! 또 들릴께요!! 사장님 번창하세요~,0
5,1.목살 2인분 주문 했는데. 닭가슴살인줄 알았네요. 고기 좋아하시는분들은 사진 보시면 잘 아실꺼에요. 매우 퍽퍽함. 2. 쫄면. 미지근하니. 면빨이 떡인줄 알았네요.면을 삶으면 차가운물에 행궈서 탱글탱글한 식감이 있어야 하는데 1도 없음. 한입 입에 넣었지만 목구멍으로는 못 넣겠음.,1
2,껍데기가 특별.  한번 맛보면 자꾸 먹고 싶음.,0
2,껍데기가 특별.  한번 맛보면 자꾸 먹고 싶음.,0
2,껍데기가 특별.  한번 맛보면 자꾸 먹고 싶음.,0
3,,0
4,바쁜건 이해하지만 식당 들어가도 그 누구도 아는척도안하네요 ;; 몇몇 알바생분들 눈 마주처도 무시하길래 결국 한명 붙잡고 어디앉으면되냐고 물어봤습니다..그리고 다른테이블 옆테이블은 다 고기구워주는데 우리테이블은 고기만갖다두고 불판켜놓고 10분넘도록 감감무소식.. 저보다늦게온 옆테이블은 구워주고있네 ^^..결국 제가 알아서 구우면되는거냐고 물어보니 그제서야 한마디 말없이 집게를 들으시더라는.. 고기는 그냥 나쁘지않게 먹었는데 들어갔을때부터 기분이 나빠서 기분좋은 저녁시간을 망쳤네요..바쁘더라도 손님오시면 몇명오셨냐고 신경좀써주셨으면 좋겠습니다..,1
2,맛있네요♥  직원분들엄청친절하십니다^^!!!!,0
3,,0
4,바쁜건 이해하지만 식당 들어가도 그 누구도 아는척도안하네요 ;; 몇몇 알바생분들 눈 마주처도 무시하길래 결국 한명 붙잡고 어디앉으면되냐고 물어봤습니다..그리고 다른테이블 옆테이블은 다 고기구워주는데 우리테이블은 고기만갖다두고 불판켜놓고 10분넘도록 감감무소식.. 저보다늦게온 옆테이블은 구워주고있네 ^^..결국 제가 알아서 구우면되는거냐고 물어보니 그제서야 한마디 말없이 집게를 들으시더라는.. 고기는 그냥 나쁘지않게 먹었는데 들어갔을때부터 기분이 나빠서 기분좋은 저녁시간을 망쳤네요..바쁘더라도 손님오시면 몇명오셨냐고 신경좀써주셨으면 좋겠습니다..,1
2,맛있네요♥  직원분들엄청친절하십니다^^!!!!,0
3,고기 진짜 맛있음. 구워주는것도 매우 적당함.하지만 피크시간대에는 대기열이 있는편임.,0
3,,0
4,바쁜건 이해하지만 식당 들어가도 그 누구도 아는척도안하네요 ;; 몇몇 알바생분들 눈 마주처도 무시하길래 결국 한명 붙잡고 어디앉으면되냐고 물어봤습니다..그리고 다른테이블 옆테이블은 다 고기구워주는데 우리테이블은 고기만갖다두고 불판켜놓고 10분넘도록 감감무소식.. 저보다늦게온 옆테이블은 구워주고있네 ^^..결국 제가 알아서 구우면되는거냐고 물어보니 그제서야 한마디 말없이 집게를 들으시더라는.. 고기는 그냥 나쁘지않게 먹었는데 들어갔을때부터 기분이 나빠서 기분좋은 저녁시간을 망쳤네요..바쁘더라도 손님오시면 몇명오셨냐고 신경좀써주셨으면 좋겠습니다..,1
2,맛있네요♥  직원분들엄청친절하십니다^^!!!!,0
3,고기 진짜 맛있음. 구워주는것도 매우 적당함.하지만 피크시간대에는 대기열이 있는편임.,0
3,,0
4,바쁜건 이해하지만 식당 들어가도 그 누구도 아는척도안하네요 ;; 몇몇 알바생분들 눈 마주처도 무시하길래 결국 한명 붙잡고 어디앉으면되냐고 물어봤습니다..그리고 다른테이블 옆테이블은 다 고기구워주는데 우리테이블은 고기만갖다두고 불판켜놓고 10분넘도록 감감무소식.. 저보다늦게온 옆테이블은 구워주고있네 ^^..결국 제가 알아서 구우면되는거냐고 물어보니 그제서야 한마디 말없이 집게를 들으시더라는.. 고기는 그냥 나쁘지않게 먹었는데 들어갔을때부터 기분이 나빠서 기분좋은 저녁시간을 망쳤네요..바쁘더라도 손님오시면 몇명오셨냐고 신경좀써주셨으면 좋겠습니다..,1
2,맛있네요♥  직원분들엄청친절하십니다^^!!!!,0
3,고기 진짜 맛있음. 구워주는것도 매우 적당함.하지만 피크시간대에는 대기열이 있는편임.,0
3,,0
4,바쁜건 이해하지만 식당 들어가도 그 누구도 아는척도안하네요 ;; 몇몇 알바생분들 눈 마주처도 무시하길래 결국 한명 붙잡고 어디앉으면되냐고 물어봤습니다..그리고 다른테이블 옆테이블은 다 고기구워주는데 우리테이블은 고기만갖다두고 불판켜놓고 10분넘도록 감감무소식.. 저보다늦게온 옆테이블은 구워주고있네 ^^..결국 제가 알아서 구우면되는거냐고 물어보니 그제서야 한마디 말없이 집게를 들으시더라는.. 고기는 그냥 나쁘지않게 먹었는데 들어갔을때부터 기분이 나빠서 기분좋은 저녁시간을 망쳤네요..바쁘더라도 손님오시면 몇명오셨냐고 신경좀써주셨으면 좋겠습니다..,1
2,맛있네요♥  직원분들엄청친절하십니다^^!!!!,0
3,고기 진짜 맛있음. 구워주는것도 매우 적당함.하지만 피크시간대에는 대기열이 있는편임.,0
5,먹을만은 한데 직원들이 너무 불친절해요 소고기가 한두푼도 아니고 기분좋게 먹으로 갔는데 밸을 눌러도 그냥 한번 처다보고 자기들 할일하고 자기들끼리 떠들고 안오더리고요 그래서 너무 화가 나서 밸을 여러번 눌렀더니 자기들끼리 왜저러는데 이러고 있더라고요 불판에 불켜두고 딴거 한다고 포스기에 주문도 안들어갔고 불판은 다타고 두번다신 가기 싫습니다,1
1,별 한개도 아까움왜 비싸기만 하고 맛없는 건지부가세 별도는 뭐하자는 건지. 불쇼를 보려고 간 건지암튼 내가 왜 여기를 선택했는지 후회중~~~~~~,0
1,"음~ 맛 없지는 않구요. 엄청 빼어나지는 않아요. 그래도 소고기 먹으려면 여기와서 먹을듯해요^^아!!! 불쑈해주시는데, 그거 좋아하시는분들은 좋아해요. ㅋ",0
5,먹을만은 한데 직원들이 너무 불친절해요 소고기가 한두푼도 아니고 기분좋게 먹으로 갔는데 밸을 눌러도 그냥 한번 처다보고 자기들 할일하고 자기들끼리 떠들고 안오더리고요 그래서 너무 화가 나서 밸을 여러번 눌렀더니 자기들끼리 왜저러는데 이러고 있더라고요 불판에 불켜두고 딴거 한다고 포스기에 주문도 안들어갔고 불판은 다타고 두번다신 가기 싫습니다,1
1,별 한개도 아까움왜 비싸기만 하고 맛없는 건지부가세 별도는 뭐하자는 건지. 불쇼를 보려고 간 건지암튼 내가 왜 여기를 선택했는지 후회중~~~~~~,0
1,"음~ 맛 없지는 않구요. 엄청 빼어나지는 않아요. 그래도 소고기 먹으려면 여기와서 먹을듯해요^^아!!! 불쑈해주시는데, 그거 좋아하시는분들은 좋아해요. ㅋ",0
3,등한심이  별다섯개 최고나머지는 그냥 그래요,0
5,먹을만은 한데 직원들이 너무 불친절해요 소고기가 한두푼도 아니고 기분좋게 먹으로 갔는데 밸을 눌러도 그냥 한번 처다보고 자기들 할일하고 자기들끼리 떠들고 안오더리고요 그래서 너무 화가 나서 밸을 여러번 눌렀더니 자기들끼리 왜저러는데 이러고 있더라고요 불판에 불켜두고 딴거 한다고 포스기에 주문도 안들어갔고 불판은 다타고 두번다신 가기 싫습니다,1
1,별 한개도 아까움왜 비싸기만 하고 맛없는 건지부가세 별도는 뭐하자는 건지. 불쇼를 보려고 간 건지암튼 내가 왜 여기를 선택했는지 후회중~~~~~~,0
1,"음~ 맛 없지는 않구요. 엄청 빼어나지는 않아요. 그래도 소고기 먹으려면 여기와서 먹을듯해요^^아!!! 불쑈해주시는데, 그거 좋아하시는분들은 좋아해요. ㅋ",0
3,등한심이  별다섯개 최고나머지는 그냥 그래요,0
5,먹을만은 한데 직원들이 너무 불친절해요 소고기가 한두푼도 아니고 기분좋게 먹으로 갔는데 밸을 눌러도 그냥 한번 처다보고 자기들 할일하고 자기들끼리 떠들고 안오더리고요 그래서 너무 화가 나서 밸을 여러번 눌렀더니 자기들끼리 왜저러는데 이러고 있더라고요 불판에 불켜두고 딴거 한다고 포스기에 주문도 안들어갔고 불판은 다타고 두번다신 가기 싫습니다,1
1,별 한개도 아까움왜 비싸기만 하고 맛없는 건지부가세 별도는 뭐하자는 건지. 불쇼를 보려고 간 건지암튼 내가 왜 여기를 선택했는지 후회중~~~~~~,0
1,"음~ 맛 없지는 않구요. 엄청 빼어나지는 않아요. 그래도 소고기 먹으려면 여기와서 먹을듯해요^^아!!! 불쑈해주시는데, 그거 좋아하시는분들은 좋아해요. ㅋ",0
3,등한심이  별다섯개 최고나머지는 그냥 그래요,0
5,먹을만은 한데 직원들이 너무 불친절해요 소고기가 한두푼도 아니고 기분좋게 먹으로 갔는데 밸을 눌러도 그냥 한번 처다보고 자기들 할일하고 자기들끼리 떠들고 안오더리고요 그래서 너무 화가 나서 밸을 여러번 눌렀더니 자기들끼리 왜저러는데 이러고 있더라고요 불판에 불켜두고 딴거 한다고 포스기에 주문도 안들어갔고 불판은 다타고 두번다신 가기 싫습니다,1
1,별 한개도 아까움왜 비싸기만 하고 맛없는 건지부가세 별도는 뭐하자는 건지. 불쇼를 보려고 간 건지암튼 내가 왜 여기를 선택했는지 후회중~~~~~~,0
1,"음~ 맛 없지는 않구요. 엄청 빼어나지는 않아요. 그래도 소고기 먹으려면 여기와서 먹을듯해요^^아!!! 불쑈해주시는데, 그거 좋아하시는분들은 좋아해요. ㅋ",0
3,등한심이  별다섯개 최고나머지는 그냥 그래요,0
1,고기 냄새 역할정도로남 비추,0
2,이따구로 처 크게 꿉네요 ㅋㅋㅋㅋ450그램인데알바 대충함  안익었는데 김치위에올리고 먹으라고 하고가네요 그래서 덜익은거 먹으라네요 ㅋㅋㅋ 그래서 열받아서 바로나왔습니다. 돈안내고,0
2,지금까지 이런맛은 없었다.여기 또한 제가 인정한 로컬맛집입니다.가격대비 맛은 최고!!!인정 합니당.와따마 삼겹살이 소주를 부르네요~,0
1,고기 냄새 역할정도로남 비추,0
2,이따구로 처 크게 꿉네요 ㅋㅋㅋㅋ450그램인데알바 대충함  안익었는데 김치위에올리고 먹으라고 하고가네요 그래서 덜익은거 먹으라네요 ㅋㅋㅋ 그래서 열받아서 바로나왔습니다. 돈안내고,0
2,지금까지 이런맛은 없었다.여기 또한 제가 인정한 로컬맛집입니다.가격대비 맛은 최고!!!인정 합니당.와따마 삼겹살이 소주를 부르네요~,0
1,고기 냄새 역할정도로남 비추,0
2,이따구로 처 크게 꿉네요 ㅋㅋㅋㅋ450그램인데알바 대충함  안익었는데 김치위에올리고 먹으라고 하고가네요 그래서 덜익은거 먹으라네요 ㅋㅋㅋ 그래서 열받아서 바로나왔습니다. 돈안내고,0
2,지금까지 이런맛은 없었다.여기 또한 제가 인정한 로컬맛집입니다.가격대비 맛은 최고!!!인정 합니당.와따마 삼겹살이 소주를 부르네요~,0
1,,0
3,고기를 좋아해서 고기집 많이 다녀봤는데 너무 잘먹은 best 3위안에 드는 식당이였어요 ㅋㅋ고기도 맛있고 솥뚜껑 불판도 신기하더라구요 가족들도 다 맛있게 드시고 나왔네요 ^^,0
5,솥두껑에 구워먹으니 비쥬얼부터가 맛집인증이네요삼겹살이랑 김치랑 같이 구워먹으니 정말 끝없이 먹게되네용 ㅋㅋㅋ 너무 맛있게 먹어서 ~ 단골각이에용,1
4,직원분들이 너무 친절하시고 좋네요 ^^바쁜데도 고기도 다 구워주시구~ 고기질도 완전 좋고 된장찌개도 맛있어요 완전 맛있게 먹었네요 ~ 다음에 또올께요!,1
1,바쁜가게 인데도 직원들 친절해요~ 고기도 맛있구요삼겹살 이랑 갈비본살 맛있어요,0
1,고기 냄새 역할정도로남 비추,0
2,이따구로 처 크게 꿉네요 ㅋㅋㅋㅋ450그램인데알바 대충함  안익었는데 김치위에올리고 먹으라고 하고가네요 그래서 덜익은거 먹으라네요 ㅋㅋㅋ 그래서 열받아서 바로나왔습니다. 돈안내고,0
2,지금까지 이런맛은 없었다.여기 또한 제가 인정한 로컬맛집입니다.가격대비 맛은 최고!!!인정 합니당.와따마 삼겹살이 소주를 부르네요~,0
1,,0
3,고기를 좋아해서 고기집 많이 다녀봤는데 너무 잘먹은 best 3위안에 드는 식당이였어요 ㅋㅋ고기도 맛있고 솥뚜껑 불판도 신기하더라구요 가족들도 다 맛있게 드시고 나왔네요 ^^,0
5,솥두껑에 구워먹으니 비쥬얼부터가 맛집인증이네요삼겹살이랑 김치랑 같이 구워먹으니 정말 끝없이 먹게되네용 ㅋㅋㅋ 너무 맛있게 먹어서 ~ 단골각이에용,1
4,직원분들이 너무 친절하시고 좋네요 ^^바쁜데도 고기도 다 구워주시구~ 고기질도 완전 좋고 된장찌개도 맛있어요 완전 맛있게 먹었네요 ~ 다음에 또올께요!,1
1,바쁜가게 인데도 직원들 친절해요~ 고기도 맛있구요삼겹살 이랑 갈비본살 맛있어요,0
5,삼겹살에다가 비빔면 같이먹으니 맛있어요!,1
4,친절합니다,1
3,,0
4,"역시 삼산에서 이만한 고깃집 없네요,,, 인생 고기집!",1
5,목구멍 삼산점에 후기남긴 사람들이 다른 어느 식당에 후기남겼는지 참고하면 좋겠습니다,1
1,고기 냄새 역할정도로남 비추,0
2,이따구로 처 크게 꿉네요 ㅋㅋㅋㅋ450그램인데알바 대충함  안익었는데 김치위에올리고 먹으라고 하고가네요 그래서 덜익은거 먹으라네요 ㅋㅋㅋ 그래서 열받아서 바로나왔습니다. 돈안내고,0
2,지금까지 이런맛은 없었다.여기 또한 제가 인정한 로컬맛집입니다.가격대비 맛은 최고!!!인정 합니당.와따마 삼겹살이 소주를 부르네요~,0
1,,0
3,고기를 좋아해서 고기집 많이 다녀봤는데 너무 잘먹은 best 3위안에 드는 식당이였어요 ㅋㅋ고기도 맛있고 솥뚜껑 불판도 신기하더라구요 가족들도 다 맛있게 드시고 나왔네요 ^^,0
5,솥두껑에 구워먹으니 비쥬얼부터가 맛집인증이네요삼겹살이랑 김치랑 같이 구워먹으니 정말 끝없이 먹게되네용 ㅋㅋㅋ 너무 맛있게 먹어서 ~ 단골각이에용,1
4,직원분들이 너무 친절하시고 좋네요 ^^바쁜데도 고기도 다 구워주시구~ 고기질도 완전 좋고 된장찌개도 맛있어요 완전 맛있게 먹었네요 ~ 다음에 또올께요!,1
1,바쁜가게 인데도 직원들 친절해요~ 고기도 맛있구요삼겹살 이랑 갈비본살 맛있어요,0
5,삼겹살에다가 비빔면 같이먹으니 맛있어요!,1
4,친절합니다,1
3,,0
4,"역시 삼산에서 이만한 고깃집 없네요,,, 인생 고기집!",1
5,목구멍 삼산점에 후기남긴 사람들이 다른 어느 식당에 후기남겼는지 참고하면 좋겠습니다,1
4,믿고 먹는 맛집입니다제가 먹어본 삼겹살중에 1등이네요사장님도 너무 친절하시고 좋아요!!!!,1
8,삼산동 삼겹살중 1티어 입니다 진짜 믿고 가셔도 댑니다 다돌아 다녀봤지만 여기는 맛도 맛인데 친절함이 맛을 더 빛나게 해주네요 대접 받는 기분입니다직원들이 찬 비면 알아서 채워줌  최고최고,1
4,"지나다닐때마다 웨이팅이 너무 길어서 못가다가 오늘 마침 자리가 비어서 갓는데 웨이팅이 왜 긴지 알겠더라고요,,, 고기는 당연히 맛있고 사이드 된장찌개가 미쳤습니다,, 직원들도 너무너무 친절하고 밝아서 주문하기가 너무 편하고 식사하는 내내 즐거웠습니다!! 또 꼭 방문할게요!",1
8,혹시 보배성지?,1
4,갈비본살 너무 맛있어요 ! 솥뚜껑에 소고기는 첨 먹어보는데 고기가 좋아서 그런지 진짜 맛있네요 잡내는 안나요 기다린보람 있는 맛집입니다 ^^,1
1,,0
4,맛있어요ㅠㅠ!!!!!!,1
1,,0
1,,0
4,맛있어요ㅠㅠ!!!!!!,1
1,,0
1,,0
4,맛있어요ㅠㅠ!!!!!!,1
1,,0
5,튀김족발 추천하고  나머지는 먹지마셈그냥 족발만드세요 ^ㅡ',1
4,돈 아까워서 먹다먹다 버렸다 일공팔,1
4,,1
1,,0
4,맛있어요ㅠㅠ!!!!!!,1
1,,0
